,EC_Multi_layer_right_pli_gamma
636,0.03607957854719102
637,0.028927794512223805
638,0.22136584746214774
639,0.8506016950708656
640,0.49079805156483197
641,0.28832683766968215
642,0.28832683766968215
643,0.11115549814416145
644,0.044798923742171474
645,0.017220253203803642
646,0.006087138309336867
647,0.33996386111286125
648,0.33996386111286125
649,1.0
650,0.1191121453845746
651,0.28832683766968215
652,0.11115549814416066
653,0.08509079293760724
654,0.33996386111286137
655,0.3269626888584478
656,0.10612768789331095
657,0.036079578547190995
658,0.15032263145871522
659,0.8481102571486686
660,0.19637411782346972
661,0.36435335830978516
662,0.32171934069511643
663,0.6103895320659866
664,0.02490754031873995
665,0.19637411782346958
666,1.0
667,0.42780257298908053
668,0.19637411782346964
669,0.015299764696378424
670,0.32036789681023886
671,0.020026462980082718
672,0.3203678968102389
673,0.17345969994658594
674,0.19082973063085468
675,0.21904612176472568
676,0.11545311669655473
677,0.3217193406951164
678,0.10306854854167098
679,0.04755624782557785
680,0.008013237449682034
681,0.18795407747181095
682,0.10306854854167104
683,0.056692091911569466
684,0.15352244684972516
685,0.4211110820503245
686,0.17621598934362703
687,0.132519286911854
688,0.062248240770396014
689,0.05580534030398856
690,0.8927307593831878
691,0.04939114038239466
692,0.19637411782346986
693,0.06323737061480758
694,0.060468461885189825
695,0.35886284127992846
696,0.02034468518148866
697,0.07047137387596981
698,0.5237490646884745
699,0.06046846188518988
700,0.06940685257326741
701,0.1685002037812598
702,0.1354795796766376
703,0.18795407747181084
704,0.22885479919802176
705,0.048995127076121366
706,0.011517787996015758
707,0.09821186233326573
708,0.16656299241906272
709,0.16656299241906267
710,0.002876761113865272
711,0.004071202840386373
712,0.19413976424259938
713,0.1941397642425995
714,0.27123833353886256
715,0.023081274908923435
716,0.1941397642425995
717,0.008138608151869188
718,0.16656299241906267
719,0.19413976424259954
720,0.3534708957826547
721,1.0
722,0.35428952711720924
723,0.016303813188301677
724,0.15786139228542412
725,0.4466036501700874
726,0.002876761113865243
727,0.45307765019806373
728,0.05887517013460547
729,0.063766501149973
730,0.0028767611138653016
731,0.1665629924190627
732,0.19413976424259952
733,0.004071202840386396
