,EC_Multi_layer_right_hbr
502,3.19493040764517e-05
503,7.021358714324627e-05
504,0.0885976874527238
505,0.18150978713789392
506,0.08911756302091157
507,0.3656668446930394
508,0.3326558033281631
509,0.47095421596489345
510,0.00012846930220567735
511,0.006293488315269329
512,0.03667643737464292
513,0.8555934399653401
514,0.00028233136233771813
515,0.0011295660686796547
516,0.3787090396343857
517,0.22341045646969782
518,0.1552985831646881
519,0.00405739545219214
520,0.00048463038635075125
521,0.389320872090939
522,0.002623272077249324
523,0.0004919979751206432
524,0.0007747431368779586
525,0.6727341678938371
526,0.34129289878037156
527,0.1958497675628833
528,0.06837296233585964
529,0.06356564305819468
530,0.03455703460643907
531,0.4242895007475145
532,0.0697002396752992
533,0.16427519312285901
534,0.3245667952526725
535,0.026761611569139185
536,0.14826392592413215
537,0.07671766184203047
538,0.6501865664770183
539,0.0034129477421972142
540,1.0
541,0.04922641852923898
542,0.06290682710921613
543,0.07895529852164196
544,0.007586799648583064
545,0.31747689488362596
546,0.362486263946248
547,0.47836591121025857
548,0.03255049844147136
549,0.1537991159575857
550,0.37874962262679723
551,0.2098159889840353
552,0.1225226254059997
553,0.3602553365756108
554,0.5174398382064196
555,0.036304343801715995
556,0.22372483444392594
557,0.005875359027780158
558,0.08925921487721841
559,0.006595834897497639
560,0.5324125752146073
561,0.21954429061947645
562,0.15285255689729327
563,0.013847523960478178
564,0.16114695795064415
565,0.7649654179065228
566,0.015545600081729841
567,0.021999386804093714
568,0.017881186395648882
569,0.008043912791111775
570,0.2221720782934452
571,0.22589706572950394
572,0.34623300636605703
573,0.0017481906849636222
574,0.0005681383225992315
575,0.795869781652123
576,0.0024591873558300974
577,0.0021215166138536736
578,0.001263549500010425
579,0.07323320013522865
580,0.002542762206773314
581,0.0032066373629906783
582,0.15261307597046755
583,0.00044300012238881906
584,0.49866994983309637
585,0.09208271409138907
586,0.006999055879308751
587,0.017414353961684035
588,0.07078919532624359
589,0.02775265888439358
590,0.339414132381349
591,0.6022498512565335
592,0.004588854999026761
593,0.22422034817501785
594,0.13156035580290504
595,0.010977166874641796
596,0.002902766486891641
597,0.002448509961547313
598,0.5704533545410749
599,0.04430804155798048
600,0.0022591024515439748
601,0.0011057410725000022
602,0.8258977405897286
603,0.017938330448188763
604,0.20050980287790032
605,0.002242017717698533
606,0.20928655169525137
607,0.3143769293542814
608,0.0005681383225990254
609,0.7700282214366879
610,0.03989515856832696
611,0.465456927009807
612,0.0012635495000104914
613,0.0009852399686545816
614,1.0
615,0.3713539967948131
616,0.014425679450308775
617,0.010423386568421372
618,0.007987519014050693
619,0.01934102499841568
620,0.3362991574003396
621,0.551869144942919
622,0.0557293732415002
623,0.006513841863835042
624,0.1978728636341584
625,0.6108560956347949
626,0.0012203817168353944
627,0.12077251544602542
628,0.2624475908024718
629,0.07471836628026847
630,0.35144042719806984
631,0.02523924886230053
632,0.1083864542803853
633,0.09750442085084367
634,0.023217268784137688
635,0.04044577509693332
636,0.47913050289134634
